"","EX","INH","ASC","OPC","MG","ODC"
"MG-M1",0.226498055408719,0.0799362185360647,0.118239900526795,0.0370318836318662,0.131953178586492,0.295323707628201
"MG-M2",0.296714676469416,0.135082085313748,0.0801818618946024,0.0467563473065461,0.175053755365972,0.285792916525468
"MG-M3",0.304084677318276,0.11892903814361,0.100464003661581,0.0692543426581604,0.200738050174626,0.155739192813913
"MG-M4",0.244567871527965,0.0823339822299886,0.0447339730168651,0.0517598574750077,0.161182661691572,0.411070167515201
